0.00.938.819 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.939.137 W srv  llama_server: -----------------
0.00.939.139 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.939.139 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.939.139 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.939.140 W srv  llama_server: -----------------
0.00.940.506 I srv    load_model: loading model '/home/REDACTED/Bonsai-demo/models/bonsai2-gguf/27B/Ternary-Bonsai-2-27B-PQ2_0.gguf'
0.08.368.481 I cmn          init: llama threadpool init, n_threads = 20
0.09.282.420 I srv    load_model: initializing, n_slots = 12, n_ctx_slot = 1024, kv_unified = 'false'
0.09.286.239 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.09.286.284 I srv  llama_server: model loaded
0.09.286.288 I srv  llama_server: listening on http://127.0.0.1:8095
1.54.965.156 I slot get_availabl: id 11 | task -1 | selected slot by LRU, t_last = -1
28.55.115.924 I slot print_timing: id  0 | task 8922 | n_gen =    188, tg =   7.16 t/s, tg_3s =   6.61 t/s
28.55.798.133 I slot print_timing: id  1 | task 8959 | n_gen =    159, tg =   7.41 t/s, tg_3s =   7.11 t/s
28.55.799.936 I slot print_timing: id 10 | task 8960 | n_gen =    159, tg =   7.41 t/s, tg_3s =   7.11 t/s
28.56.032.220 I slot print_timing: id  2 | task 8978 | n_gen =    144, tg =   7.43 t/s, tg_3s =   7.40 t/s
28.56.432.594 I slot print_timing: id  5 | task 9004 | n_gen =    122, tg =   7.40 t/s, tg_3s =   7.33 t/s
28.56.645.551 I slot print_timing: id  4 | task 8937 | n_gen =    187, tg =   7.29 t/s, tg_3s =   7.40 t/s
28.58.136.810 I slot print_timing: id  0 | task 8922 | n_gen =    214, tg =   7.31 t/s, tg_3s =   8.61 t/s
28.58.877.750 I slot print_timing: id  1 | task 8959 | n_gen =    186, tg =   7.58 t/s, tg_3s =   8.77 t/s
28.58.879.681 I slot print_timing: id 10 | task 8960 | n_gen =    186, tg =   7.58 t/s, tg_3s =   8.77 t/s
28.59.099.465 I slot print_timing: id  2 | task 8978 | n_gen =    171, tg =   7.62 t/s, tg_3s =   8.80 t/s
28.59.505.808 I slot print_timing: id  5 | task 9004 | n_gen =    149, tg =   7.62 t/s, tg_3s =   8.79 t/s
28.59.726.171 I slot print_timing: id  4 | task 8937 | n_gen =    214, tg =   7.44 t/s, tg_3s =   8.76 t/s
29.00.422.855 I slot print_timing: id  4 | task 8937 | prompt eval time =     532.17 ms /    33 tokens (   16.13 ms per token,    62.01 tokens per second)
29.00.422.859 I slot print_timing: id  4 | task 8937 |        eval time =   29307.29 ms /   220 tokens (  133.82 ms per token,     7.47 tokens per second)
29.00.422.860 I slot print_timing: id  4 | task 8937 |       total time =   29839.47 ms /   253 tokens
29.00.422.861 I slot print_timing: id  4 | task 8937 |    graphs reused =       7568
29.00.422.898 I slot      release: id  4 | task 8937 | stop processing: n_tokens = 252, truncated = 0
29.00.599.161 I slot get_availabl: id  4 | task -1 | selected slot by LCP similarity, f_sim_best = 0.130 (> 0.100 thold), f_keep = 0.012
29.00.599.211 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 310.944 MiB)
29.00.694.667 I slot launch_slot_: id  4 | task 9170 | processing task, is_child = 0
29.01.153.078 I slot print_timing: id  0 | task 8922 | n_gen =    237, tg =   7.34 t/s, tg_3s =   7.63 t/s
29.01.573.412 I slot print_timing: id  7 | task 9068 | n_gen =    100, tg =   7.12 t/s, tg_3s =   7.20 t/s
29.01.795.709 I slot print_timing: id  9 | task 9071 | n_gen =    100, tg =   7.32 t/s, tg_3s =   7.40 t/s
29.01.902.187 I slot print_timing: id  1 | task 8959 | n_gen =    208, tg =   7.55 t/s, tg_3s =   7.27 t/s
29.01.904.070 I slot print_timing: id 10 | task 8960 | n_gen =    208, tg =   7.55 t/s, tg_3s =   7.27 t/s
29.02.114.736 I slot print_timing: id  2 | task 8978 | n_gen =    193, tg =   7.58 t/s, tg_3s =   7.30 t/s
29.02.359.546 I slot print_timing: id  3 | task 9077 | n_gen =    100, tg =   7.58 t/s, tg_3s =   7.65 t/s
29.02.633.895 I slot print_timing: id  5 | task 9004 | n_gen =    172, tg =   7.58 t/s, tg_3s =   7.35 t/s
29.03.177.576 I slot print_timing: id  8 | task 9085 | n_gen =    100, tg =   7.82 t/s, tg_3s =   7.90 t/s
29.03.423.506 I slot print_timing: id  0 | task 8922 | prompt eval time =     459.10 ms /    76 tokens (    6.04 ms per token,   165.54 tokens per second)
29.03.423.512 I slot print_timing: id  0 | task 8922 |        eval time =   34435.08 ms /   256 tokens (  135.04 ms per token,     7.41 tokens per second)
29.03.423.513 I slot print_timing: id  0 | task 8922 |       total time =   34894.19 ms /   332 tokens
29.03.423.514 I slot print_timing: id  0 | task 8922 |    graphs reused =       7586
29.03.423.547 I slot      release: id  0 | task 8922 | stop processing: n_tokens = 331, truncated = 0
29.03.425.851 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 44997809284
29.03.425.904 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 317.258 MiB)
29.03.529.647 I slot launch_slot_: id  0 | task 9192 | processing task, is_child = 0
29.04.700.245 I slot print_timing: id  7 | task 9068 | n_gen =    124, tg =   7.23 t/s, tg_3s =   7.68 t/s
29.04.822.466 I slot print_timing: id  2 | task 8978 | prompt eval time =     547.70 ms /    47 tokens (   11.65 ms per token,    85.81 tokens per second)
29.04.822.469 I slot print_timing: id  2 | task 8978 |        eval time =   28031.63 ms /   213 tokens (  132.22 ms per token,     7.56 tokens per second)
29.04.822.470 I slot print_timing: id  2 | task 8978 |       total time =   28579.33 ms /   260 tokens
29.04.822.470 I slot print_timing: id  2 | task 8978 |    graphs reused =       7591
29.04.822.495 I slot      release: id  2 | task 8978 | stop processing: n_tokens = 259, truncated = 0
29.04.823.927 I slot print_timing: id  9 | task 9071 | n_gen =    123, tg =   7.37 t/s, tg_3s =   7.60 t/s
29.04.974.059 I slot print_timing: id  1 | task 8959 | n_gen =    231, tg =   7.54 t/s, tg_3s =   7.49 t/s
29.04.975.059 I slot print_timing: id  7 | task 9068 | prompt eval time =     520.47 ms /    25 tokens (   20.82 ms per token,    48.03 tokens per second)
29.04.975.062 I slot print_timing: id  7 | task 9068 |        eval time =   17298.07 ms /   126 tokens (  138.38 ms per token,     7.23 tokens per second)
29.04.975.062 I slot print_timing: id  7 | task 9068 |       total time =   17818.53 ms /   151 tokens
29.04.975.063 I slot print_timing: id  7 | task 9068 |    graphs reused =       7591
29.04.975.095 I slot      release: id  7 | task 9068 | stop processing: n_tokens = 150, truncated = 0
29.04.975.735 I slot print_timing: id 10 | task 8960 | n_gen =    231, tg =   7.54 t/s, tg_3s =   7.49 t/s
29.04.975.955 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.130 (> 0.100 thold), f_keep = 0.012
29.04.975.998 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 317.883 MiB)
29.05.059.515 I slot launch_slot_: id  2 | task 9203 | processing task, is_child = 0
29.05.059.537 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 316.758 MiB)
29.05.138.411 I slot get_availabl: id  7 | task -1 | selected slot by LRU, t_last = 44999360832
29.05.138.450 I slot launch_slot_: id  7 | task 9204 | processing task, is_child = 0
29.05.540.219 I slot print_timing: id  3 | task 9077 | n_gen =    120, tg =   7.33 t/s, tg_3s =   6.29 t/s
29.05.933.031 I slot print_timing: id  5 | task 9004 | n_gen =    191, tg =   7.35 t/s, tg_3s =   5.76 t/s
29.06.264.384 I slot print_timing: id  8 | task 9085 | n_gen =    117, tg =   7.37 t/s, tg_3s =   5.51 t/s
29.06.264.799 I slot print_timing: id 10 | task 8960 | prompt eval time =     813.73 ms /    32 tokens (   25.43 ms per token,    39.32 tokens per second)
29.06.264.801 I slot print_timing: id 10 | task 8960 |        eval time =   31778.08 ms /   236 tokens (  135.23 ms per token,     7.40 tokens per second)
29.06.264.802 I slot print_timing: id 10 | task 8960 |       total time =   32591.81 ms /   268 tokens
29.06.264.803 I slot print_timing: id 10 | task 8960 |    graphs reused =       7593
29.06.264.832 I slot      release: id 10 | task 8960 | stop processing: n_tokens = 267, truncated = 0
29.06.416.532 I slot print_timing: id 11 | task 9104 | n_gen =    100, tg =   7.34 t/s, tg_3s =   7.41 t/s
29.06.416.541 I slot get_availabl: id 10 | task -1 | selected slot by LRU, t_last = 45000650570
29.06.416.584 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 316.758 MiB)
29.06.495.586 I slot launch_slot_: id 10 | task 9211 | processing task, is_child = 0
29.07.891.431 I slot print_timing: id  9 | task 9071 | n_gen =    139, tg =   7.04 t/s, tg_3s =   5.22 t/s
29.07.996.696 I slot print_timing: id  1 | task 8959 | n_gen =    247, tg =   7.34 t/s, tg_3s =   5.29 t/s
29.08.104.748 I slot print_timing: id  6 | task 9116 | n_gen =    100, tg =   7.34 t/s, tg_3s =   7.42 t/s
29.08.675.886 I slot print_timing: id  3 | task 9077 | n_gen =    141, tg =   7.22 t/s, tg_3s =   6.70 t/s
29.08.947.607 I slot print_timing: id  5 | task 9004 | n_gen =    213, tg =   7.35 t/s, tg_3s =   7.30 t/s
29.09.055.067 I slot print_timing: id  1 | task 8959 | prompt eval time =     818.92 ms /    26 tokens (   31.50 ms per token,    31.75 tokens per second)
29.09.055.071 I slot print_timing: id  1 | task 8959 |        eval time =   34570.21 ms /   256 tokens (  135.57 ms per token,     7.38 tokens per second)
29.09.055.072 I slot print_timing: id  1 | task 8959 |       total time =   35389.13 ms /   282 tokens
29.09.055.073 I slot print_timing: id  1 | task 8959 |    graphs reused =       7609
29.09.055.105 I slot      release: id  1 | task 8959 | stop processing: n_tokens = 281, truncated = 0
29.09.057.165 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.120 (> 0.100 thold), f_keep = 0.011
29.09.057.211 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 316.320 MiB)
29.09.134.598 I slot launch_slot_: id  1 | task 9231 | processing task, is_child = 0
29.09.372.686 I slot print_timing: id  8 | task 9085 | n_gen =    138, tg =   7.27 t/s, tg_3s =   6.76 t/s
29.09.627.344 I slot print_timing: id  9 | task 9071 | prompt eval time =     521.98 ms /    14 tokens (   37.28 ms per token,    26.82 tokens per second)
29.09.627.348 I slot print_timing: id  9 | task 9071 |        eval time =   21350.50 ms /   151 tokens (  142.34 ms per token,     7.03 tokens per second)
29.09.627.348 I slot print_timing: id  9 | task 9071 |       total time =   21872.48 ms /   165 tokens
29.09.627.350 I slot print_timing: id  9 | task 9071 |    graphs reused =       7609
29.09.627.374 I slot      release: id  9 | task 9071 | stop processing: n_tokens = 164, truncated = 0
29.09.627.811 I slot print_timing: id 11 | task 9104 | n_gen =    121, tg =   7.19 t/s, tg_3s =   6.54 t/s
29.09.818.561 I slot get_availabl: id  9 | task -1 | selected slot by LCP similarity, f_sim_best = 0.143 (> 0.100 thold), f_keep = 0.018
29.09.818.610 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 317.758 MiB)
29.09.893.071 I slot launch_slot_: id  9 | task 9235 | processing task, is_child = 0
29.11.128.549 I slot print_timing: id  6 | task 9116 | n_gen =    119, tg =   7.15 t/s, tg_3s =   6.28 t/s
29.11.808.744 I slot print_timing: id  3 | task 9077 | n_gen =    161, tg =   7.11 t/s, tg_3s =   6.38 t/s
29.12.083.260 I slot print_timing: id  5 | task 9004 | n_gen =    233, tg =   7.25 t/s, tg_3s =   6.38 t/s
29.12.404.880 I slot print_timing: id  8 | task 9085 | n_gen =    159, tg =   7.22 t/s, tg_3s =   6.93 t/s
29.12.735.688 I slot print_timing: id 11 | task 9104 | n_gen =    144, tg =   7.22 t/s, tg_3s =   7.40 t/s
29.14.210.885 I slot print_timing: id  6 | task 9116 | n_gen =    145, tg =   7.35 t/s, tg_3s =   8.44 t/s
29.14.740.390 I slot print_timing: id  5 | task 9004 | prompt eval time =     447.27 ms /    19 tokens (   23.54 ms per token,    42.48 tokens per second)
29.14.740.394 I slot print_timing: id  5 | task 9004 |        eval time =   34652.21 ms /   256 tokens (  135.89 ms per token,     7.36 tokens per second)
29.14.740.395 I slot print_timing: id  5 | task 9004 |       total time =   35099.47 ms /   275 tokens
29.14.740.396 I slot print_timing: id  5 | task 9004 |    graphs reused =       7644
29.14.740.434 I slot      release: id  5 | task 9004 | stop processing: n_tokens = 274, truncated = 0
29.14.905.208 I slot print_timing: id  3 | task 9077 | n_gen =    187, tg =   7.26 t/s, tg_3s =   8.40 t/s
29.14.906.624 I slot get_availabl: id  5 | task -1 | selected slot by LRU, t_last = 45009126171
29.14.906.668 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 316.570 MiB)
29.14.989.725 I slot launch_slot_: id  5 | task 9276 | processing task, is_child = 0
29.15.491.928 I slot print_timing: id  4 | task 9170 | n_gen =    100, tg =   6.90 t/s, tg_3s =   6.97 t/s
29.15.492.804 I slot print_timing: id  8 | task 9085 | n_gen =    182, tg =   7.25 t/s, tg_3s =   7.45 t/s
29.15.825.485 I slot print_timing: id 11 | task 9104 | n_gen =    167, tg =   7.25 t/s, tg_3s =   7.44 t/s
29.17.165.431 I slot print_timing: id  8 | task 9085 | prompt eval time =     493.05 ms /    32 tokens (   15.41 ms per token,    64.90 tokens per second)
29.17.165.436 I slot print_timing: id  8 | task 9085 |        eval time =   26640.31 ms /   197 tokens (  135.92 ms per token,     7.36 tokens per second)
29.17.165.436 I slot print_timing: id  8 | task 9085 |       total time =   27133.35 ms /   229 tokens
29.17.165.437 I slot print_timing: id  8 | task 9085 |    graphs reused =       7657
29.17.165.465 I slot      release: id  8 | task 9085 | stop processing: n_tokens = 228, truncated = 0
29.17.352.301 I slot print_timing: id  6 | task 9116 | n_gen =    169, tg =   7.39 t/s, tg_3s =   7.64 t/s
29.17.353.150 I slot get_availabl: id  8 | task -1 | selected slot by LCP similarity, f_sim_best = 0.107 (> 0.100 thold), f_keep = 0.013
29.17.353.194 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 317.946 MiB)
29.17.432.168 I slot launch_slot_: id  8 | task 9295 | processing task, is_child = 0
29.17.920.154 I slot print_timing: id  3 | task 9077 | n_gen =    207, tg =   7.20 t/s, tg_3s =   6.63 t/s
29.18.341.853 I slot print_timing: id  0 | task 9192 | n_gen =    100, tg =   6.88 t/s, tg_3s =   6.95 t/s
29.18.569.755 I slot print_timing: id  4 | task 9170 | n_gen =    123, tg =   7.01 t/s, tg_3s =   7.47 t/s
29.18.896.039 I slot print_timing: id 11 | task 9104 | n_gen =    190, tg =   7.28 t/s, tg_3s =   7.49 t/s
29.19.532.322 I slot print_timing: id  2 | task 9203 | n_gen =    100, tg =   7.28 t/s, tg_3s =   7.35 t/s
29.19.533.360 I slot print_timing: id  7 | task 9204 | n_gen =    100, tg =   7.28 t/s, tg_3s =   7.35 t/s
29.20.200.323 I slot print_timing: id 10 | task 9211 | n_gen =    100, tg =   7.52 t/s, tg_3s =   7.60 t/s
29.20.416.594 I slot print_timing: id  6 | task 9116 | n_gen =    192, tg =   7.41 t/s, tg_3s =   7.51 t/s
29.20.974.055 I slot print_timing: id  3 | task 9077 | n_gen =    233, tg =   7.32 t/s, tg_3s =   8.51 t/s
29.21.366.405 I slot print_timing: id  0 | task 9192 | n_gen =    126, tg =   7.18 t/s, tg_3s =   8.60 t/s
29.21.621.701 I slot print_timing: id  4 | task 9170 | n_gen =    149, tg =   7.23 t/s, tg_3s =   8.52 t/s
29.21.957.161 I slot print_timing: id 11 | task 9104 | n_gen =    216, tg =   7.41 t/s, tg_3s =   8.49 t/s
29.22.467.658 I slot print_timing: id  1 | task 9231 | n_gen =    100, tg =   7.71 t/s, tg_3s =   7.79 t/s
29.22.602.829 I slot print_timing: id  2 | task 9203 | n_gen =    126, tg =   7.50 t/s, tg_3s =   8.47 t/s
29.22.603.869 I slot print_timing: id  7 | task 9204 | n_gen =    126, tg =   7.50 t/s, tg_3s =   8.47 t/s
29.22.825.909 I slot print_timing: id  9 | task 9235 | n_gen =    100, tg =   7.95 t/s, tg_3s =   8.04 t/s
29.23.288.119 I slot print_timing: id 10 | task 9211 | n_gen =    126, tg =   7.69 t/s, tg_3s =   8.42 t/s
29.23.428.990 I slot print_timing: id  6 | task 9116 | n_gen =    217, tg =   7.50 t/s, tg_3s =   8.30 t/s
29.23.801.199 I slot print_timing: id  3 | task 9077 | prompt eval time =     562.61 ms /    55 tokens (   10.23 ms per token,    97.76 tokens per second)
29.23.801.203 I slot print_timing: id  3 | task 9077 |        eval time =   34505.81 ms /   256 tokens (  135.32 ms per token,     7.39 tokens per second)
29.23.801.203 I slot print_timing: id  3 | task 9077 |       total time =   35068.43 ms /   311 tokens
29.23.801.204 I slot print_timing: id  3 | task 9077 |    graphs reused =       7705
29.23.801.237 I slot      release: id  3 | task 9077 | stop processing: n_tokens = 310, truncated = 0
29.23.952.018 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 45018186974
29.23.952.068 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 318.071 MiB)
29.24.035.141 I slot launch_slot_: id  3 | task 9348 | processing task, is_child = 0
29.24.596.720 I slot print_timing: id  0 | task 9192 | n_gen =    149, tg =   7.17 t/s, tg_3s =   7.12 t/s
29.24.725.193 I slot print_timing: id  4 | task 9170 | n_gen =    171, tg =   7.21 t/s, tg_3s =   7.09 t/s
29.25.065.197 I slot print_timing: id 11 | task 9104 | n_gen =    238, tg =   7.37 t/s, tg_3s =   7.08 t/s
29.25.557.391 I slot print_timing: id  1 | task 9231 | n_gen =    122, tg =   7.59 t/s, tg_3s =   7.12 t/s
29.25.698.739 I slot print_timing: id  2 | task 9203 | n_gen =    148, tg =   7.44 t/s, tg_3s =   7.11 t/s
29.25.699.815 I slot print_timing: id  7 | task 9204 | n_gen =    148, tg =   7.44 t/s, tg_3s =   7.11 t/s
29.25.925.536 I slot print_timing: id  9 | task 9235 | n_gen =    122, tg =   7.78 t/s, tg_3s =   7.10 t/s
29.26.377.077 I slot print_timing: id 10 | task 9211 | n_gen =    148, tg =   7.60 t/s, tg_3s =   7.12 t/s
29.26.513.001 I slot print_timing: id  6 | task 9116 | n_gen =    239, tg =   7.46 t/s, tg_3s =   7.13 t/s
29.27.224.954 I slot print_timing: id 11 | task 9104 | prompt eval time =     418.39 ms /    33 tokens (   12.68 ms per token,    78.87 tokens per second)
29.27.224.958 I slot print_timing: id 11 | task 9104 |        eval time =   34298.47 ms /   256 tokens (  134.50 ms per token,     7.43 tokens per second)
29.27.224.958 I slot print_timing: id 11 | task 9104 |       total time =   34716.86 ms /   289 tokens
29.27.224.959 I slot print_timing: id 11 | task 9104 |    graphs reused =       7726
29.27.225.001 I slot      release: id 11 | task 9104 | stop processing: n_tokens = 288, truncated = 0
29.27.333.497 I slot get_availabl: id 11 | task -1 | selected slot by LRU, t_last = 45021610738
29.27.333.543 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 317.321 MiB)
29.27.418.068 I slot launch_slot_: id 11 | task 9374 | processing task, is_child = 0
29.27.664.909 I slot print_timing: id  0 | task 9192 | n_gen =    173, tg =   7.25 t/s, tg_3s =   7.82 t/s
29.27.879.098 I slot print_timing: id  4 | task 9170 | n_gen =    195, tg =   7.26 t/s, tg_3s =   7.61 t/s
29.28.330.188 I slot print_timing: id  5 | task 9276 | n_gen =    100, tg =   7.71 t/s, tg_3s =   7.79 t/s
29.28.593.834 I slot print_timing: id  1 | task 9231 | n_gen =    145, tg =   7.59 t/s, tg_3s =   7.57 t/s
29.28.733.774 I slot print_timing: id  2 | task 9203 | n_gen =    171, tg =   7.46 t/s, tg_3s =   7.58 t/s
29.28.734.773 I slot print_timing: id  7 | task 9204 | n_gen =    171, tg =   7.46 t/s, tg_3s =   7.58 t/s
29.28.862.498 I slot print_timing: id  6 | task 9116 | prompt eval time =     491.09 ms /    35 tokens (   14.03 ms per token,    71.27 tokens per second)
29.28.862.503 I slot print_timing: id  6 | task 9116 |        eval time =   34237.56 ms /   256 tokens (  134.26 ms per token,     7.45 tokens per second)
29.28.862.503 I slot print_timing: id  6 | task 9116 |       total time =   34728.65 ms /   291 tokens
29.28.862.504 I slot print_timing: id  6 | task 9116 |    graphs reused =       7733
29.28.862.542 I slot      release: id  6 | task 9116 | stop processing: n_tokens = 290, truncated = 0
29.29.002.298 I slot print_timing: id  9 | task 9235 | n_gen =    145, tg =   7.73 t/s, tg_3s =   7.48 t/s
29.29.002.699 I slot get_availabl: id  6 | task -1 | selected slot by LCP similarity, f_sim_best = 0.125 (> 0.100 thold), f_keep = 0.010
29.29.002.746 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 317.321 MiB)
29.29.083.790 I slot launch_slot_: id  6 | task 9386 | processing task, is_child = 0
29.29.587.897 I slot print_timing: id 10 | task 9211 | n_gen =    169, tg =   7.45 t/s, tg_3s =   6.54 t/s
29.30.694.682 I slot print_timing: id  0 | task 9192 | n_gen =    194, tg =   7.22 t/s, tg_3s =   6.93 t/s
29.30.961.910 I slot print_timing: id  4 | task 9170 | n_gen =    217, tg =   7.25 t/s, tg_3s =   7.14 t/s
29.30.962.721 I slot print_timing: id  8 | task 9295 | n_gen =    100, tg =   7.59 t/s, tg_3s =   7.67 t/s
29.31.400.749 I slot print_timing: id  5 | task 9276 | n_gen =    122, tg =   7.61 t/s, tg_3s =   7.16 t/s
29.31.638.573 I slot print_timing: id  1 | task 9231 | n_gen =    167, tg =   7.54 t/s, tg_3s =   7.23 t/s
29.31.777.253 I slot print_timing: id  2 | task 9203 | n_gen =    193, tg =   7.43 t/s, tg_3s =   7.23 t/s
29.31.778.333 I slot print_timing: id  7 | task 9204 | n_gen =    193, tg =   7.43 t/s, tg_3s =   7.23 t/s
29.32.040.828 I slot print_timing: id  9 | task 9235 | n_gen =    167, tg =   7.66 t/s, tg_3s =   7.24 t/s
29.32.608.803 I slot print_timing: id 10 | task 9211 | n_gen =    194, tg =   7.55 t/s, tg_3s =   8.28 t/s
29.33.715.247 I slot print_timing: id  0 | task 9192 | n_gen =    220, tg =   7.36 t/s, tg_3s =   8.61 t/s
29.34.039.860 I slot print_timing: id  4 | task 9170 | n_gen =    244, tg =   7.39 t/s, tg_3s =   8.77 t/s
29.34.040.740 I slot print_timing: id  8 | task 9295 | n_gen =    127, tg =   7.82 t/s, tg_3s =   8.77 t/s
29.34.484.848 I slot print_timing: id  5 | task 9276 | n_gen =    149, tg =   7.79 t/s, tg_3s =   8.75 t/s
29.34.712.165 I slot print_timing: id  1 | task 9231 | n_gen =    194, tg =   7.69 t/s, tg_3s =   8.78 t/s
29.34.857.257 I slot print_timing: id  2 | task 9203 | n_gen =    220, tg =   7.57 t/s, tg_3s =   8.77 t/s
29.34.858.299 I slot print_timing: id  7 | task 9204 | n_gen =    220, tg =   7.57 t/s, tg_3s =   8.77 t/s
29.35.132.288 I slot print_timing: id  9 | task 9235 | n_gen =    194, tg =   7.80 t/s, tg_3s =   8.73 t/s
29.35.458.389 I slot print_timing: id  4 | task 9170 | prompt eval time =     459.30 ms /    23 tokens (   19.97 ms per token,    50.08 tokens per second)
29.35.458.392 I slot print_timing: id  4 | task 9170 |        eval time =   34304.41 ms /   256 tokens (  134.53 ms per token,     7.43 tokens per second)
29.35.458.393 I slot print_timing: id  4 | task 9170 |       total time =   34763.71 ms /   279 tokens
29.35.458.394 I slot print_timing: id  4 | task 9170 |    graphs reused =       7781
29.35.458.425 I slot      release: id  4 | task 9170 | stop processing: n_tokens = 278, truncated = 0
29.35.606.672 I slot get_availabl: id  4 | task -1 | selected slot by LRU, t_last = 45029844162
29.35.606.720 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 316.445 MiB)
29.35.699.671 I slot launch_slot_: id  4 | task 9440 | processing task, is_child = 0
29.36.016.388 I slot print_timing: id 10 | task 9211 | n_gen =    221, tg =   7.59 t/s, tg_3s =   7.92 t/s
29.36.724.015 I slot print_timing: id  0 | task 9192 | n_gen =    242, tg =   7.35 t/s, tg_3s =   7.31 t/s
29.37.139.373 I slot print_timing: id  8 | task 9295 | n_gen =    149, tg =   7.70 t/s, tg_3s =   7.10 t/s
29.37.477.440 I slot print_timing: id  3 | task 9348 | n_gen =    100, tg =   7.69 t/s, tg_3s =   7.76 t/s
29.37.585.553 I slot print_timing: id  5 | task 9276 | n_gen =    171, tg =   7.69 t/s, tg_3s =   7.10 t/s
29.37.806.646 I slot print_timing: id  1 | task 9231 | n_gen =    216, tg =   7.63 t/s, tg_3s =   7.11 t/s
29.37.946.445 I slot print_timing: id  2 | task 9203 | n_gen =    242, tg =   7.53 t/s, tg_3s =   7.12 t/s
29.37.947.497 I slot print_timing: id  7 | task 9204 | n_gen =    242, tg =   7.53 t/s, tg_3s =   7.12 t/s
29.38.233.781 I slot print_timing: id  9 | task 9235 | n_gen =    216, tg =   7.72 t/s, tg_3s =   7.09 t/s
29.38.456.571 I slot print_timing: id  0 | task 9192 | prompt eval time =     425.51 ms /    38 tokens (   11.20 ms per token,    89.30 tokens per second)
29.38.456.575 I slot print_timing: id  0 | task 9192 |        eval time =   34501.39 ms /   256 tokens (  135.30 ms per token,     7.39 tokens per second)
29.38.456.575 I slot print_timing: id  0 | task 9192 |       total time =   34926.90 ms /   294 tokens
29.38.456.576 I slot print_timing: id  0 | task 9192 |    graphs reused =       7798
29.38.456.608 I slot      release: id  0 | task 9192 | stop processing: n_tokens = 293, truncated = 0
29.38.458.867 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.125 (> 0.100 thold), f_keep = 0.010
29.38.458.913 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 319.759 MiB)
29.38.544.433 I slot launch_slot_: id  0 | task 9461 | processing task, is_child = 0
29.39.097.483 I slot print_timing: id 10 | task 9211 | n_gen =    243, tg =   7.55 t/s, tg_3s =   7.14 t/s
29.39.910.504 I slot print_timing: id  2 | task 9203 | prompt eval time =     793.97 ms /    23 tokens (   34.52 ms per token,    28.97 tokens per second)
29.39.910.508 I slot print_timing: id  2 | task 9203 |        eval time =   33978.07 ms /   256 tokens (  133.25 ms per token,     7.50 tokens per second)
29.39.910.509 I slot print_timing: id  2 | task 9203 |       total time =   34772.04 ms /   279 tokens
29.39.910.509 I slot print_timing: id  2 | task 9203 |    graphs reused =       7805
29.39.910.539 I slot      release: id  2 | task 9203 | stop processing: n_tokens = 278, truncated = 0
29.39.911.605 I slot print_timing: id  7 | task 9204 | prompt eval time =     785.42 ms /    60 tokens (   13.09 ms per token,    76.39 tokens per second)
29.39.911.608 I slot print_timing: id  7 | task 9204 |        eval time =   33978.09 ms /   256 tokens (  133.25 ms per token,     7.50 tokens per second)
29.39.911.608 I slot print_timing: id  7 | task 9204 |       total time =   34763.51 ms /   316 tokens
29.39.911.609 I slot print_timing: id  7 | task 9204 |    graphs reused =       7805
29.39.911.625 I slot      release: id  7 | task 9204 | stop processing: n_tokens = 315, truncated = 0
29.40.141.182 I slot print_timing: id  8 | task 9295 | n_gen =    171, tg =   7.65 t/s, tg_3s =   7.33 t/s
29.40.141.897 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 45034296276
29.40.141.943 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 316.320 MiB)
29.40.227.284 I slot launch_slot_: id  2 | task 9473 | processing task, is_child = 0
29.40.227.310 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 316.258 MiB)
29.40.310.839 I slot get_availabl: id  7 | task -1 | selected slot by LRU, t_last = 45034297362
